sample,replicate,day,chip,batch,channel,sample_label_short,sample_label_long,sample_id
R1-D0-A-b1,1,0,A,1,1,Rep_1_Day_0,Replicate 1 Day 0 Chip A Batch 1 Channel 1,rep01_day00_chip_a_batch01
R1-D0-A-b2,1,0,A,2,1,Rep_1_Day_0,Replicate 1 Day 0 Chip A Batch 2 Channel 1,rep01_day00_chip_a_batch02
R1-D0-C-b1,1,0,C,1,1,Rep_1_Day_0,Replicate 1 Day 0 Chip C Batch 1 Channel 1,rep01_day00_chip_c_batch01
R1-D0-C-b2,1,0,C,2,1,Rep_1_Day_0,Replicate 1 Day 0 Chip C Batch 2 Channel 1,rep01_day00_chip_c_batch02
R1-D0-E-b1,1,0,E,1,4,Rep_1_Day_0,Replicate 1 Day 0 Chip E Batch 1 Channel 4,rep01_day00_chip_e_batch01
R1-D2-A-b1,1,2,A,1,2,Rep_1_Day_2,Replicate 1 Day 2 Chip A Batch 1 Channel 2,rep01_day02_chip_a_batch01
R1-D2-A-b2,1,2,A,2,2,Rep_1_Day_2,Replicate 1 Day 2 Chip A Batch 2 Channel 2,rep01_day02_chip_a_batch02
R1-D2-C-b1,1,2,C,1,2,Rep_1_Day_2,Replicate 1 Day 2 Chip C Batch 1 Channel 2,rep01_day02_chip_c_batch01
R1-D2-C-b2,1,2,C,2,2,Rep_1_Day_2,Replicate 1 Day 2 Chip C Batch 2 Channel 2,rep01_day02_chip_c_batch02
R1-D2-E-b1,1,2,E,1,5,Rep_1_Day_2,Replicate 1 Day 2 Chip E Batch 1 Channel 5,rep01_day02_chip_e_batch01
R1-D4-A-b1,1,4,A,1,3,Rep_1_Day_4,Replicate 1 Day 4 Chip A Batch 1 Channel 3,rep01_day04_chip_a_batch01
R1-D4-A-b2,1,4,A,2,3,Rep_1_Day_4,Replicate 1 Day 4 Chip A Batch 2 Channel 3,rep01_day04_chip_a_batch02
R1-D4-C-b1,1,4,C,1,3,Rep_1_Day_4,Replicate 1 Day 4 Chip C Batch 1 Channel 3,rep01_day04_chip_c_batch01
R1-D4-C-b2,1,4,C,2,3,Rep_1_Day_4,Replicate 1 Day 4 Chip C Batch 2 Channel 3,rep01_day04_chip_c_batch02
R1-D4-E-b1,1,4,E,1,6,Rep_1_Day_4,Replicate 1 Day 4 Chip E Batch 1 Channel 6,rep01_day04_chip_e_batch01
R2-D0-A-b1,2,0,A,1,4,Rep_2_Day_0,Replicate 2 Day 0 Chip A Batch 1 Channel 4,rep02_day00_chip_a_batch01
R2-D0-A-b2,2,0,A,2,4,Rep_2_Day_0,Replicate 2 Day 0 Chip A Batch 2 Channel 4,rep02_day00_chip_a_batch02
R2-D0-D-b1,2,0,D,1,1,Rep_2_Day_0,Replicate 2 Day 0 Chip D Batch 1 Channel 1,rep02_day00_chip_d_batch01
R2-D0-D-b2,2,0,D,2,1,Rep_2_Day_0,Replicate 2 Day 0 Chip D Batch 2 Channel 1,rep02_day00_chip_d_batch02
R2-D0-F-b1,2,0,F,1,1,Rep_2_Day_0,Replicate 2 Day 0 Chip F Batch 1 Channel 1,rep02_day00_chip_f_batch01
R2-D2-A-b1,2,2,A,1,5,Rep_2_Day_2,Replicate 2 Day 2 Chip A Batch 1 Channel 5,rep02_day02_chip_a_batch01
R2-D2-A-b2,2,2,A,2,5,Rep_2_Day_2,Replicate 2 Day 2 Chip A Batch 2 Channel 5,rep02_day02_chip_a_batch02
R2-D2-D-b1,2,2,D,1,2,Rep_2_Day_2,Replicate 2 Day 2 Chip D Batch 1 Channel 2,rep02_day02_chip_d_batch01
R2-D2-D-b2,2,2,D,2,2,Rep_2_Day_2,Replicate 2 Day 2 Chip D Batch 2 Channel 2,rep02_day02_chip_d_batch02
R2-D2-F-b1,2,2,F,1,2,Rep_2_Day_2,Replicate 2 Day 2 Chip F Batch 1 Channel 2,rep02_day02_chip_f_batch01
R2-D4-A-b1,2,4,A,1,6,Rep_2_Day_4,Replicate 2 Day 4 Chip A Batch 1 Channel 6,rep02_day04_chip_a_batch01
R2-D4-A-b2,2,4,A,2,6,Rep_2_Day_4,Replicate 2 Day 4 Chip A Batch 2 Channel 6,rep02_day04_chip_a_batch02
R2-D4-D-b1,2,4,D,1,3,Rep_2_Day_4,Replicate 2 Day 4 Chip D Batch 1 Channel 3,rep02_day04_chip_d_batch01
R2-D4-D-b2,2,4,D,2,3,Rep_2_Day_4,Replicate 2 Day 4 Chip D Batch 2 Channel 3,rep02_day04_chip_d_batch02
R2-D4-F-b1,2,4,F,1,3,Rep_2_Day_4,Replicate 2 Day 4 Chip F Batch 1 Channel 3,rep02_day04_chip_f_batch01
R3-D0-B-b1,3,0,B,1,1,Rep_3_Day_0,Replicate 3 Day 0 Chip B Batch 1 Channel 1,rep03_day00_chip_b_batch01
R3-D0-B-b2,3,0,B,2,1,Rep_3_Day_0,Replicate 3 Day 0 Chip B Batch 2 Channel 1,rep03_day00_chip_b_batch02
R3-D0-C-b1,3,0,C,1,4,Rep_3_Day_0,Replicate 3 Day 0 Chip C Batch 1 Channel 4,rep03_day00_chip_c_batch01
